date,type,tokens,requests
2020-02-02,Generation,2619,2
2020-02-02,Embedding,787,2
2020-02-02,Summarization,1597,3
2020-02-03,Generation,3104,3
2020-02-03,Embedding,611,2
2020-02-03,Summarization,1732,4
2020-02-04,Generation,3609,3
2020-02-04,Embedding,720,3
2020-02-04,Summarization,1759,2
2020-02-05,Generation,2922,2
2020-02-05,Embedding,770,1
2020-02-05,Summarization,1753,5
2020-02-06,Generation,3317,4
2020-02-06,Embedding,721,3
2020-02-06,Summarization,2232,3
2020-02-07,Generation,3103,4
2020-02-07,Embedding,655,1
2020-02-07,Summarization,1704,4
2020-02-08,Generation,3158,5
2020-02-08,Embedding,695,2
2020-02-08,Summarization,1578,3
2020-02-09,Generation,2789,3
2020-02-09,Embedding,853,2
2020-02-09,Summarization,2219,4
2020-02-10,Generation,2992,1
2020-02-10,Embedding,601,3
2020-02-10,Summarization,2011,2
2020-02-11,Generation,3353,2
2020-02-11,Embedding,889,5
2020-02-11,Summarization,1854,1
2020-02-12,Generation,3217,1
2020-02-12,Embedding,898,1
2020-02-12,Summarization,1801,2
2020-02-13,Generation,3470,4
2020-02-13,Embedding,718,2
2020-02-13,Summarization,1455,4
2020-02-14,Generation,3074,2
2020-02-14,Embedding,744,2
2020-02-14,Summarization,2130,1
2020-02-15,Generation,2894,1
2020-02-15,Embedding,649,4
2020-02-15,Summarization,2413,1
2020-02-16,Generation,3466,4
2020-02-16,Embedding,664,2
2020-02-16,Summarization,2229,4
2020-02-17,Generation,3524,1
2020-02-17,Embedding,734,3
2020-02-17,Summarization,1847,3
2020-02-18,Generation,2664,3
2020-02-18,Embedding,790,3
2020-02-18,Summarization,1858,2
2020-02-19,Generation,2999,4
2020-02-19,Embedding,686,1
2020-02-19,Summarization,1552,4
2020-02-20,Generation,3073,3
2020-02-20,Embedding,910,1
2020-02-20,Summarization,1436,2
2020-02-21,Generation,2874,1
2020-02-21,Embedding,784,2
2020-02-21,Summarization,2084,4
2020-02-22,Generation,3373,4
2020-02-22,Embedding,702,3
2020-02-22,Summarization,1907,3
2020-02-23,Generation,3742,3
2020-02-23,Embedding,868,1
2020-02-23,Summarization,2135,2
2020-02-24,Generation,3478,1
2020-02-24,Embedding,713,4
2020-02-24,Summarization,2148,1
2020-02-25,Generation,3462,2
2020-02-25,Embedding,856,2
2020-02-25,Summarization,2104,5
2020-02-26,Generation,2588,5
2020-02-26,Embedding,725,1
2020-02-26,Summarization,1935,2
2020-02-27,Generation,3356,4
2020-02-27,Embedding,782,1
2020-02-27,Summarization,1908,4
2020-02-28,Generation,3489,2
2020-02-28,Embedding,939,3
2020-02-28,Summarization,1717,3
2020-02-29,Generation,3319,4
2020-02-29,Embedding,696,3
2020-02-29,Summarization,1923,3
2020-03-01,Generation,3434,4
2020-03-01,Embedding,693,1
2020-03-01,Summarization,2189,2
2020-03-02,Generation,3140,3
2020-03-02,Embedding,830,2
2020-03-02,Summarization,2638,4
2020-03-03,Generation,3352,1
2020-03-03,Embedding,683,3
2020-03-03,Summarization,2132,5
2020-03-04,Generation,2987,3
2020-03-04,Embedding,686,1
2020-03-04,Summarization,2296,4
2020-03-05,Generation,2721,3
2020-03-05,Embedding,678,2
2020-03-05,Summarization,2153,4
2020-03-06,Generation,3351,4
2020-03-06,Embedding,787,4
2020-03-06,Summarization,1950,1
2020-03-07,Generation,2963,3
2020-03-07,Embedding,725,3
2020-03-07,Summarization,2052,4
2020-03-08,Generation,3832,3
2020-03-08,Embedding,542,2
2020-03-08,Summarization,1674,5
2020-03-09,Generation,2884,3
2020-03-09,Embedding,742,3
2020-03-09,Summarization,2355,3
2020-03-10,Generation,2788,4
2020-03-10,Embedding,797,2
2020-03-10,Summarization,2114,5
2020-03-11,Generation,3411,1
2020-03-11,Embedding,895,1
2020-03-11,Summarization,1993,3
2020-03-12,Generation,3381,5
2020-03-12,Embedding,599,1
2020-03-12,Summarization,2192,2
2020-03-13,Generation,3236,3
2020-03-13,Embedding,613,1
2020-03-13,Summarization,2141,4
2020-03-14,Generation,3199,1
2020-03-14,Embedding,645,3
2020-03-14,Summarization,1624,3
2020-03-15,Generation,3605,3
2020-03-15,Embedding,834,2
2020-03-15,Summarization,2039,2
2020-03-16,Generation,3217,1
2020-03-16,Embedding,596,3
2020-03-16,Summarization,2610,5
2020-03-17,Generation,3414,4
2020-03-17,Embedding,699,2
2020-03-17,Summarization,1803,5
2020-03-18,Generation,2921,5
2020-03-18,Embedding,712,2
2020-03-18,Summarization,1896,3
2020-03-19,Generation,3271,1
2020-03-19,Embedding,874,1
2020-03-19,Summarization,2316,4
2020-03-20,Generation,3319,3
2020-03-20,Embedding,942,2
2020-03-20,Summarization,1944,3
2020-03-21,Generation,3484,5
2020-03-21,Embedding,830,1
2020-03-21,Summarization,2206,5
2020-03-22,Generation,3816,1
2020-03-22,Embedding,824,1
2020-03-22,Summarization,2650,1
2020-03-23,Generation,3409,2
2020-03-23,Embedding,719,3
2020-03-23,Summarization,1944,1
2020-03-24,Generation,3506,5
2020-03-24,Embedding,781,1
2020-03-24,Summarization,2145,4
2020-03-25,Generation,3199,5
2020-03-25,Embedding,831,3
2020-03-25,Summarization,2256,2
2020-03-26,Generation,3385,1
2020-03-26,Embedding,902,2
2020-03-26,Summarization,1880,1
2020-03-27,Generation,3274,3
2020-03-27,Embedding,788,2
2020-03-27,Summarization,2177,3
2020-03-28,Generation,3638,1
2020-03-28,Embedding,778,2
2020-03-28,Summarization,2069,3
2020-03-29,Generation,3232,1
2020-03-29,Embedding,840,1
2020-03-29,Summarization,1797,5
2020-03-30,Generation,3494,3
2020-03-30,Embedding,821,3
2020-03-30,Summarization,1972,4
2020-03-31,Generation,3646,2
2020-03-31,Embedding,768,1
2020-03-31,Summarization,2164,4
2020-04-01,Generation,3449,5
2020-04-01,Embedding,842,1
2020-04-01,Summarization,1858,4
2020-04-02,Generation,3539,3
2020-04-02,Embedding,821,1
2020-04-02,Summarization,1859,4
2020-04-03,Generation,3487,5
2020-04-03,Embedding,743,2
2020-04-03,Summarization,2109,3
2020-04-04,Generation,3286,1
2020-04-04,Embedding,629,3
2020-04-04,Summarization,2213,1
2020-04-05,Generation,3510,5
2020-04-05,Embedding,759,2
2020-04-05,Summarization,2051,3
2020-04-06,Generation,3505,3
2020-04-06,Embedding,824,2
2020-04-06,Summarization,2347,2
2020-04-07,Generation,3061,2
2020-04-07,Embedding,684,1
2020-04-07,Summarization,2566,2
2020-04-08,Generation,3788,1
2020-04-08,Embedding,768,2
2020-04-08,Summarization,1964,4
2020-04-09,Generation,4093,3
2020-04-09,Embedding,604,2
2020-04-09,Summarization,1767,2
2020-04-10,Generation,3321,3
2020-04-10,Embedding,714,2
2020-04-10,Summarization,2115,4
2020-04-11,Generation,3813,1
2020-04-11,Embedding,826,1
2020-04-11,Summarization,2274,4
2020-04-12,Generation,2972,4
2020-04-12,Embedding,851,1
2020-04-12,Summarization,2057,2
2020-04-13,Generation,3627,2
2020-04-13,Embedding,808,4
2020-04-13,Summarization,2647,4
2020-04-14,Generation,3693,4
2020-04-14,Embedding,733,3
2020-04-14,Summarization,1975,2
2020-04-15,Generation,2958,5
2020-04-15,Embedding,1000,1
2020-04-15,Summarization,2251,1
2020-04-16,Generation,3405,4
2020-04-16,Embedding,796,2
2020-04-16,Summarization,2480,3
2020-04-17,Generation,3516,2
2020-04-17,Embedding,779,1
2020-04-17,Summarization,2131,2
2020-04-18,Generation,3623,5
2020-04-18,Embedding,877,3
2020-04-18,Summarization,2625,1
2020-04-19,Generation,3201,1
2020-04-19,Embedding,776,2
2020-04-19,Summarization,2329,2
2020-04-20,Generation,3356,4
2020-04-20,Embedding,940,2
2020-04-20,Summarization,2126,3
2020-04-21,Generation,3592,2
2020-04-21,Embedding,843,3
2020-04-21,Summarization,2346,1
2020-04-22,Generation,3036,5
2020-04-22,Embedding,983,1
2020-04-22,Summarization,1773,5
2020-04-23,Generation,3258,4
2020-04-23,Embedding,854,3
2020-04-23,Summarization,1975,3
2020-04-24,Generation,3601,4
2020-04-24,Embedding,815,2
2020-04-24,Summarization,2347,1
2020-04-25,Generation,3044,4
2020-04-25,Embedding,737,2
2020-04-25,Summarization,2263,4
2020-04-26,Generation,3780,1
2020-04-26,Embedding,977,3
2020-04-26,Summarization,2139,1
2020-04-27,Generation,3512,2
2020-04-27,Embedding,806,2
2020-04-27,Summarization,2477,1
2020-04-28,Generation,3571,5
2020-04-28,Embedding,861,1
2020-04-28,Summarization,2075,2
2020-04-29,Generation,3882,5
2020-04-29,Embedding,763,5
2020-04-29,Summarization,2013,2
2020-04-30,Generation,3963,2
2020-04-30,Embedding,849,2
2020-04-30,Summarization,1917,3
2020-05-01,Generation,3324,1
2020-05-01,Embedding,836,1
2020-05-01,Summarization,2326,3
2020-05-02,Generation,2760,1
2020-05-02,Embedding,776,1
2020-05-02,Summarization,2328,3
2020-05-03,Generation,3739,4
2020-05-03,Embedding,804,2
2020-05-03,Summarization,2351,3
2020-05-04,Generation,3631,1
2020-05-04,Embedding,813,2
2020-05-04,Summarization,1883,1
2020-05-05,Generation,3420,1
2020-05-05,Embedding,647,2
2020-05-05,Summarization,2524,2
2020-05-06,Generation,3633,5
2020-05-06,Embedding,943,1
2020-05-06,Summarization,2137,2
2020-05-07,Generation,3540,4
2020-05-07,Embedding,782,2
2020-05-07,Summarization,2503,3
2020-05-08,Generation,4006,4
2020-05-08,Embedding,877,1
2020-05-08,Summarization,2241,4
2020-05-09,Generation,2933,5
2020-05-09,Embedding,824,5
2020-05-09,Summarization,2523,2
2020-05-10,Generation,4393,5
2020-05-10,Embedding,793,4
2020-05-10,Summarization,2766,2
2020-05-11,Generation,3846,2
2020-05-11,Embedding,740,3
2020-05-11,Summarization,1859,3
2020-05-12,Generation,3202,5
2020-05-12,Embedding,826,1
2020-05-12,Summarization,2189,1
2020-05-13,Generation,3440,4
2020-05-13,Embedding,767,3
2020-05-13,Summarization,2141,1
2020-05-14,Generation,3620,3
2020-05-14,Embedding,889,2
2020-05-14,Summarization,2131,4
2020-05-15,Generation,3981,5
2020-05-15,Embedding,921,1
2020-05-15,Summarization,2149,3
2020-05-16,Generation,3382,5
2020-05-16,Embedding,880,2
2020-05-16,Summarization,1880,3
2020-05-17,Generation,3385,1
2020-05-17,Embedding,1098,2
2020-05-17,Summarization,2251,4
2020-05-18,Generation,3483,5
2020-05-18,Embedding,684,1
2020-05-18,Summarization,2184,4
2020-05-19,Generation,3577,2
2020-05-19,Embedding,859,3
2020-05-19,Summarization,1958,2
2020-05-20,Generation,3558,3
2020-05-20,Embedding,660,1
2020-05-20,Summarization,1898,5
2020-05-21,Generation,3528,5
2020-05-21,Embedding,941,2
2020-05-21,Summarization,2160,3
2020-05-22,Generation,3630,4
2020-05-22,Embedding,958,4
2020-05-22,Summarization,2060,1
2020-05-23,Generation,3199,2
2020-05-23,Embedding,791,1
2020-05-23,Summarization,2412,1
2020-05-24,Generation,3627,4
2020-05-24,Embedding,933,1
2020-05-24,Summarization,2421,1
2020-05-25,Generation,3954,1
2020-05-25,Embedding,891,2
2020-05-25,Summarization,1970,4
2020-05-26,Generation,4109,3
2020-05-26,Embedding,897,1
2020-05-26,Summarization,2143,4
2020-05-27,Generation,4355,2
2020-05-27,Embedding,867,2
2020-05-27,Summarization,2076,3
2020-05-28,Generation,3447,5
2020-05-28,Embedding,706,3
2020-05-28,Summarization,1987,4
2020-05-29,Generation,3853,4
2020-05-29,Embedding,834,1
2020-05-29,Summarization,2066,1
2020-05-30,Generation,3411,1
2020-05-30,Embedding,827,1
2020-05-30,Summarization,1859,4
2020-05-31,Generation,3309,2
2020-05-31,Embedding,913,1
2020-05-31,Summarization,1808,1
2020-06-01,Generation,3811,2
2020-06-01,Embedding,794,3
2020-06-01,Summarization,2344,4
2020-06-02,Generation,4317,5
2020-06-02,Embedding,906,1
2020-06-02,Summarization,2005,3
2020-06-03,Generation,3609,1
2020-06-03,Embedding,767,2
2020-06-03,Summarization,2029,3
2020-06-04,Generation,3792,2
2020-06-04,Embedding,800,3
2020-06-04,Summarization,2425,4
2020-06-05,Generation,3939,5
2020-06-05,Embedding,948,3
2020-06-05,Summarization,2317,4
2020-06-06,Generation,3601,4
2020-06-06,Embedding,759,1
2020-06-06,Summarization,1776,2
2020-06-07,Generation,3102,5
2020-06-07,Embedding,820,1
2020-06-07,Summarization,1719,1
2020-06-08,Generation,4028,2
2020-06-08,Embedding,942,3
2020-06-08,Summarization,1884,5
2020-06-09,Generation,3991,1
2020-06-09,Embedding,1003,3
2020-06-09,Summarization,1991,1
2020-06-10,Generation,3697,5
2020-06-10,Embedding,820,1
2020-06-10,Summarization,1783,3
2020-06-11,Generation,4162,4
2020-06-11,Embedding,798,3
2020-06-11,Summarization,2144,2
2020-06-12,Generation,3671,4
2020-06-12,Embedding,569,2
2020-06-12,Summarization,1677,1
2020-06-13,Generation,4072,4
2020-06-13,Embedding,738,3
2020-06-13,Summarization,1929,1
2020-06-14,Generation,3571,2
2020-06-14,Embedding,1042,2
2020-06-14,Summarization,1757,1
2020-06-15,Generation,3796,4
2020-06-15,Embedding,1112,2
2020-06-15,Summarization,2034,1
2020-06-16,Generation,3147,4
2020-06-16,Embedding,902,3
2020-06-16,Summarization,2269,1
2020-06-17,Generation,3834,2
2020-06-17,Embedding,1040,1
2020-06-17,Summarization,1972,3
2020-06-18,Generation,3582,5
2020-06-18,Embedding,789,3
2020-06-18,Summarization,2299,4
2020-06-19,Generation,3836,4
2020-06-19,Embedding,957,2
2020-06-19,Summarization,1953,3
2020-06-20,Generation,3833,1
2020-06-20,Embedding,775,2
2020-06-20,Summarization,1816,3
2020-06-21,Generation,3671,2
2020-06-21,Embedding,850,4
2020-06-21,Summarization,1884,2
2020-06-22,Generation,4027,2
2020-06-22,Embedding,828,1
2020-06-22,Summarization,2159,2
2020-06-23,Generation,3379,2
2020-06-23,Embedding,823,2
2020-06-23,Summarization,2107,4
2020-06-24,Generation,3876,2
2020-06-24,Embedding,910,3
2020-06-24,Summarization,2173,3
2020-06-25,Generation,3594,4
2020-06-25,Embedding,877,1
2020-06-25,Summarization,1858,1
2020-06-26,Generation,3910,3
2020-06-26,Embedding,690,1
2020-06-26,Summarization,2076,4
2020-06-27,Generation,3480,5
2020-06-27,Embedding,759,2
2020-06-27,Summarization,1764,2
2020-06-28,Generation,3591,1
2020-06-28,Embedding,972,1
2020-06-28,Summarization,1900,1
2020-06-29,Generation,3318,4
2020-06-29,Embedding,883,2
2020-06-29,Summarization,1689,3
2020-06-30,Generation,3494,5
2020-06-30,Embedding,961,3
2020-06-30,Summarization,2052,2
2020-07-01,Generation,3895,1
2020-07-01,Embedding,902,2
2020-07-01,Summarization,1640,1
2020-07-02,Generation,3944,1
2020-07-02,Embedding,902,2
2020-07-02,Summarization,1841,5
2020-07-03,Generation,3565,2
2020-07-03,Embedding,829,3
2020-07-03,Summarization,1866,4
2020-07-04,Generation,3442,4
2020-07-04,Embedding,706,2
2020-07-04,Summarization,1833,4
2020-07-05,Generation,3995,2
2020-07-05,Embedding,928,2
2020-07-05,Summarization,1961,1
2020-07-06,Generation,3682,2
2020-07-06,Embedding,902,5
2020-07-06,Summarization,1905,2
2020-07-07,Generation,4151,4
2020-07-07,Embedding,941,2
2020-07-07,Summarization,1949,1
2020-07-08,Generation,3276,4
2020-07-08,Embedding,805,3
2020-07-08,Summarization,2061,1
2020-07-09,Generation,3256,3
2020-07-09,Embedding,758,1
2020-07-09,Summarization,1712,2
2020-07-10,Generation,3558,5
2020-07-10,Embedding,902,2
2020-07-10,Summarization,1680,3
2020-07-11,Generation,3786,5
2020-07-11,Embedding,971,2
2020-07-11,Summarization,2080,2
2020-07-12,Generation,3223,2
2020-07-12,Embedding,809,5
2020-07-12,Summarization,1570,1
2020-07-13,Generation,3590,2
2020-07-13,Embedding,860,3
2020-07-13,Summarization,2123,1
2020-07-14,Generation,4090,5
2020-07-14,Embedding,824,1
2020-07-14,Summarization,2051,4
2020-07-15,Generation,3455,1
2020-07-15,Embedding,946,3
2020-07-15,Summarization,1448,4
2020-07-16,Generation,3871,3
2020-07-16,Embedding,945,1
2020-07-16,Summarization,1598,5
2020-07-17,Generation,4421,2
2020-07-17,Embedding,729,3
2020-07-17,Summarization,1871,2
2020-07-18,Generation,3636,1
2020-07-18,Embedding,907,3
2020-07-18,Summarization,1755,4
2020-07-19,Generation,3464,4
2020-07-19,Embedding,905,1
2020-07-19,Summarization,2019,3
2020-07-20,Generation,3501,3
2020-07-20,Embedding,905,2
2020-07-20,Summarization,2022,1
2020-07-21,Generation,3580,2
2020-07-21,Embedding,992,1
2020-07-21,Summarization,1842,2
2020-07-22,Generation,4083,3
2020-07-22,Embedding,864,1
2020-07-22,Summarization,2187,2
2020-07-23,Generation,3546,1
2020-07-23,Embedding,804,2
2020-07-23,Summarization,1827,3
2020-07-24,Generation,3700,4
2020-07-24,Embedding,1009,1
2020-07-24,Summarization,1924,1
2020-07-25,Generation,3859,1
2020-07-25,Embedding,1057,2
2020-07-25,Summarization,1823,3
2020-07-26,Generation,4093,2
2020-07-26,Embedding,913,5
2020-07-26,Summarization,1446,2
2020-07-27,Generation,3653,1
2020-07-27,Embedding,891,2
2020-07-27,Summarization,2096,3
2020-07-28,Generation,4226,4
2020-07-28,Embedding,981,1
2020-07-28,Summarization,2116,4
2020-07-29,Generation,3871,3
2020-07-29,Embedding,909,2
2020-07-29,Summarization,1426,4
2020-07-30,Generation,4218,5
2020-07-30,Embedding,1058,3
2020-07-30,Summarization,1779,2
2020-07-31,Generation,3810,3
2020-07-31,Embedding,1013,2
2020-07-31,Summarization,1887,3
2020-08-01,Generation,4719,5
2020-08-01,Embedding,784,2
2020-08-01,Summarization,1368,2
2020-08-02,Generation,4037,2
2020-08-02,Embedding,835,3
2020-08-02,Summarization,1835,3
2020-08-03,Generation,3574,2
2020-08-03,Embedding,916,3
2020-08-03,Summarization,1450,1
2020-08-04,Generation,3922,3
2020-08-04,Embedding,854,1
2020-08-04,Summarization,1534,3
2020-08-05,Generation,3642,2
2020-08-05,Embedding,809,1
2020-08-05,Summarization,1581,1
2020-08-06,Generation,3478,5
2020-08-06,Embedding,927,4
2020-08-06,Summarization,1625,2
2020-08-07,Generation,3802,1
2020-08-07,Embedding,971,1
2020-08-07,Summarization,1745,2
2020-08-08,Generation,3956,4
2020-08-08,Embedding,797,5
2020-08-08,Summarization,1556,1
2020-08-09,Generation,3919,5
2020-08-09,Embedding,836,1
2020-08-09,Summarization,1636,1
2020-08-10,Generation,4067,2
2020-08-10,Embedding,930,3
2020-08-10,Summarization,1502,4
2020-08-11,Generation,4323,1
2020-08-11,Embedding,905,1
2020-08-11,Summarization,1609,4
2020-08-12,Generation,4069,5
2020-08-12,Embedding,1101,3
2020-08-12,Summarization,1608,4
2020-08-13,Generation,4329,2
2020-08-13,Embedding,1047,1
2020-08-13,Summarization,1620,4
2020-08-14,Generation,3736,3
2020-08-14,Embedding,966,2
2020-08-14,Summarization,888,5
2020-08-15,Generation,3295,3
2020-08-15,Embedding,965,2
2020-08-15,Summarization,1498,3
2020-08-16,Generation,3795,5
2020-08-16,Embedding,741,2
2020-08-16,Summarization,1473,5
2020-08-17,Generation,3930,5
2020-08-17,Embedding,923,3
2020-08-17,Summarization,1655,1
2020-08-18,Generation,3526,1
2020-08-18,Embedding,802,2
2020-08-18,Summarization,1580,2
2020-08-19,Generation,4079,2
2020-08-19,Embedding,1002,3
2020-08-19,Summarization,1617,2
2020-08-20,Generation,3552,3
2020-08-20,Embedding,824,2
2020-08-20,Summarization,1641,2
2020-08-21,Generation,4038,1
2020-08-21,Embedding,913,2
2020-08-21,Summarization,1520,3
2020-08-22,Generation,4067,4
2020-08-22,Embedding,737,2
2020-08-22,Summarization,1921,3
2020-08-23,Generation,3535,5
2020-08-23,Embedding,1047,2
2020-08-23,Summarization,1854,2
2020-08-24,Generation,3666,3
2020-08-24,Embedding,1049,1
2020-08-24,Summarization,1567,4
2020-08-25,Generation,3825,4
2020-08-25,Embedding,928,3
2020-08-25,Summarization,1897,2
2020-08-26,Generation,4290,2
2020-08-26,Embedding,823,4
2020-08-26,Summarization,1538,3
2020-08-27,Generation,3717,2
2020-08-27,Embedding,966,2
2020-08-27,Summarization,1733,2
2020-08-28,Generation,4183,3
2020-08-28,Embedding,1054,3
2020-08-28,Summarization,1705,5
2020-08-29,Generation,3843,3
2020-08-29,Embedding,975,3
2020-08-29,Summarization,1644,5
2020-08-30,Generation,4033,3
2020-08-30,Embedding,1029,1
2020-08-30,Summarization,1305,4
2020-08-31,Generation,4265,2
2020-08-31,Embedding,1051,2
2020-08-31,Summarization,1920,3
2020-09-01,Generation,3751,5
2020-09-01,Embedding,763,1
2020-09-01,Summarization,1129,4
2020-09-02,Generation,4546,1
2020-09-02,Embedding,834,3
2020-09-02,Summarization,1522,2
2020-09-03,Generation,3964,2
2020-09-03,Embedding,996,2
2020-09-03,Summarization,1627,4
2020-09-04,Generation,4247,1
2020-09-04,Embedding,952,1
2020-09-04,Summarization,1403,4
2020-09-05,Generation,4072,2
2020-09-05,Embedding,1046,1
2020-09-05,Summarization,1305,4
2020-09-06,Generation,3623,2
2020-09-06,Embedding,1068,3
2020-09-06,Summarization,1634,1
2020-09-07,Generation,4076,5
2020-09-07,Embedding,970,2
2020-09-07,Summarization,1547,4
2020-09-08,Generation,3451,5
2020-09-08,Embedding,837,3
2020-09-08,Summarization,1533,1
2020-09-09,Generation,4234,4
2020-09-09,Embedding,738,2
2020-09-09,Summarization,1916,5
2020-09-10,Generation,3981,3
2020-09-10,Embedding,899,3
2020-09-10,Summarization,1596,2
2020-09-11,Generation,4084,2
2020-09-11,Embedding,908,1
2020-09-11,Summarization,2053,2
2020-09-12,Generation,4183,4
2020-09-12,Embedding,1025,4
2020-09-12,Summarization,1711,3
2020-09-13,Generation,3930,1
2020-09-13,Embedding,1001,3
2020-09-13,Summarization,1741,5
2020-09-14,Generation,4065,5
2020-09-14,Embedding,1023,1
2020-09-14,Summarization,1195,4
2020-09-15,Generation,4133,2
2020-09-15,Embedding,833,5
2020-09-15,Summarization,1394,4
2020-09-16,Generation,4007,2
2020-09-16,Embedding,842,3
2020-09-16,Summarization,1799,2
2020-09-17,Generation,3623,3
2020-09-17,Embedding,914,2
2020-09-17,Summarization,1557,1
2020-09-18,Generation,4063,3
2020-09-18,Embedding,948,2
2020-09-18,Summarization,1377,4
2020-09-19,Generation,4165,3
2020-09-19,Embedding,1010,1
2020-09-19,Summarization,1525,1
2020-09-20,Generation,4185,2
2020-09-20,Embedding,781,4
2020-09-20,Summarization,1258,4
2020-09-21,Generation,4136,4
2020-09-21,Embedding,808,1
2020-09-21,Summarization,1009,5
2020-09-22,Generation,4096,1
2020-09-22,Embedding,912,2
2020-09-22,Summarization,1034,1
2020-09-23,Generation,4081,5
2020-09-23,Embedding,1018,4
2020-09-23,Summarization,1344,3
2020-09-24,Generation,4126,5
2020-09-24,Embedding,806,1
2020-09-24,Summarization,1831,3
2020-09-25,Generation,3577,4
2020-09-25,Embedding,954,2
2020-09-25,Summarization,1765,3
2020-09-26,Generation,3830,2
2020-09-26,Embedding,910,2
2020-09-26,Summarization,1673,4
2020-09-27,Generation,4013,4
2020-09-27,Embedding,902,3
2020-09-27,Summarization,1725,5
2020-09-28,Generation,4370,1
2020-09-28,Embedding,1039,3
2020-09-28,Summarization,1588,5
2020-09-29,Generation,3971,1
2020-09-29,Embedding,852,2
2020-09-29,Summarization,1749,5
2020-09-30,Generation,3901,4
2020-09-30,Embedding,979,1
2020-09-30,Summarization,1572,5
2020-10-01,Generation,4256,3
2020-10-01,Embedding,838,5
2020-10-01,Summarization,1984,2
2020-10-02,Generation,4506,3
2020-10-02,Embedding,1049,5
2020-10-02,Summarization,1319,4
2020-10-03,Generation,3785,4
2020-10-03,Embedding,1000,3
2020-10-03,Summarization,1442,1
2020-10-04,Generation,3799,5
2020-10-04,Embedding,1168,3
2020-10-04,Summarization,1790,4
2020-10-05,Generation,4032,3
2020-10-05,Embedding,1147,1
2020-10-05,Summarization,1375,5
2020-10-06,Generation,3559,3
2020-10-06,Embedding,967,2
2020-10-06,Summarization,1112,3
2020-10-07,Generation,4336,4
2020-10-07,Embedding,845,1
2020-10-07,Summarization,1730,5
2020-10-08,Generation,3836,4
2020-10-08,Embedding,729,1
2020-10-08,Summarization,1489,4
2020-10-09,Generation,4333,5
2020-10-09,Embedding,841,2
2020-10-09,Summarization,1634,3
2020-10-10,Generation,4414,2
2020-10-10,Embedding,978,2
2020-10-10,Summarization,1250,3
2020-10-11,Generation,4245,1
2020-10-11,Embedding,997,1
